step,loss,grad_norm,reward_mean,success_group_fraction,mean_length,max_length
1,0.2142,0.434,0.5625,1.0,3551.0,5140.0
2,0.1823,0.4358,0.6875,1.0,3182.0,6272.0
3,0.197,0.649,1.0,1.0,1294.0,2042.0
4,0.0,0.0,0.1125,0.0,2500.0,3048.0
5,0.09913,0.3247,0.175,0.5,1366.0,1740.0
6,0.2161,0.5776,1.0,1.0,1378.0,1583.0
7,0.2887,1.639,1.0,1.0,1188.0,1854.0
8,0.09741,0.4133,0.375,0.5,1144.0,1691.0
9,0.1877,0.4795,0.6875,1.0,1338.0,2213.0
10,0.1791,0.3486,1.0,1.0,1704.0,2471.0
11,0.1051,0.3107,0.5,0.5,1237.0,2230.0
12,0.2732,0.7307,0.3812,1.0,1651.0,2706.0
13,0.08388,0.2474,0.5,0.5,2097.0,3988.0
14,0.1242,0.3164,0.4375,0.5,1092.0,1807.0
15,0.2174,0.4385,1.0,1.0,1242.0,1428.0
16,0.0,0.0,0.00625,0.0,2227.0,3484.0
17,0.06584,0.228,0.5125,0.5,1675.0,2448.0
18,0.06845,0.2061,0.3125,0.5,1382.0,2437.0
19,0.2148,0.4083,0.9375,1.0,1128.0,1521.0
20,0.1827,0.4222,0.75,1.0,1585.0,2331.0
21,0.1026,0.4555,0.525,0.5,878.6,1298.0
22,0.2158,0.8493,1.0,1.0,1093.0,1874.0
23,0.1856,0.4258,0.9375,1.0,1136.0,1491.0
24,0.106,0.6679,0.5187,0.5,753.5,1821.0
25,0.1948,0.5843,0.4625,1.0,1470.0,2280.0
26,0.1406,0.8438,0.55,0.5,730.1,1162.0
27,0.06803,0.3555,0.5,0.5,1857.0,3074.0
28,0.2145,0.8934,1.0,1.0,723.9,1368.0
29,0.1771,0.5483,0.6625,1.0,916.1,1281.0
30,0.09745,0.3472,0.5625,0.5,1051.0,1639.0
31,0.1643,0.7081,0.8125,1.0,1055.0,1255.0
32,0.1991,0.94,0.9,1.0,1032.0,1483.0
33,0.1449,0.9595,0.5375,0.5,806.6,1586.0
34,0.1133,0.7843,0.5,0.5,1006.0,2072.0
35,0.2538,1.508,0.9375,1.0,556.4,674.0
36,0.2399,0.9853,0.7,1.0,743.2,1170.0
37,0.2038,1.104,1.0,1.0,564.1,677.0
38,0.1502,0.8656,1.0,1.0,1006.0,1793.0
39,0.0,0.0,0.04375,0.0,756.6,1198.0
40,0.2027,0.6308,0.7375,1.0,959.4,1122.0
41,0.1262,0.5107,0.5,0.5,779.8,1425.0
42,0.2263,1.088,1.0,1.0,748.1,900.0
43,0.1725,1.162,0.9,1.0,1026.0,1258.0
44,0.0,0.0,0.08125,0.0,1297.0,2496.0
45,0.08844,0.4317,0.4187,0.5,1328.0,2109.0
46,0.1522,0.6378,0.875,1.0,1066.0,1423.0
47,0.1872,1.069,0.95,1.0,894.4,1344.0
48,0.1883,0.7963,1.0,1.0,832.1,994.0
49,0.1939,0.7477,0.9375,1.0,911.2,1147.0
50,0.2133,0.7365,0.925,1.0,795.9,1032.0
51,0.07421,0.54,0.5625,0.5,820.5,1879.0
52,0.0,0.0,0.0,0.0,904.6,1333.0
53,0.1293,1.373,0.5188,0.5,941.8,2451.0
54,0.1055,1.039,0.5187,0.5,767.7,1075.0
55,0.09228,0.4825,0.5125,0.5,1098.0,1359.0
56,0.1215,0.4741,0.5,0.5,1008.0,1216.0
57,0.2106,1.025,0.8125,1.0,748.3,897.0
58,0.2163,1.003,1.0,1.0,790.2,995.0
59,0.3031,1.232,0.5688,1.0,848.5,1346.0
60,0.1697,0.7135,1.0,1.0,1262.0,1429.0
61,0.1527,0.76,1.0,1.0,828.3,901.0
62,0.1439,2.037,0.5,0.5,923.4,1470.0
63,0.096,0.7227,0.5,0.5,890.3,1274.0
64,0.1639,0.9314,1.0,1.0,969.1,1138.0
65,0.1679,0.9105,0.8875,1.0,846.1,1026.0
66,0.1946,1.053,1.0,1.0,623.8,858.0
67,0.1929,1.095,0.725,1.0,986.8,1143.0
68,0.2106,0.9551,0.8375,1.0,843.6,1347.0
69,0.1044,0.6827,0.5063,0.5,1215.0,1733.0
70,0.2357,0.8262,0.7125,1.0,1204.0,1438.0
71,0.05306,0.3719,0.4375,0.5,994.9,1327.0
72,0.1757,0.8851,1.0,1.0,615.4,668.0
73,0.06839,0.6649,0.3125,0.5,1029.0,1338.0
74,0.1025,0.6138,0.2188,0.5,1041.0,1483.0
75,0.2058,1.105,1.0,1.0,709.8,791.0
76,0.2139,1.051,0.8125,1.0,700.1,886.0
77,0.07382,0.4434,0.3875,0.5,1123.0,1636.0
78,0.1486,1.048,0.75,1.0,906.1,1036.0
79,0.1943,1.153,1.0,1.0,795.5,1315.0
80,0.2011,1.055,1.0,1.0,878.6,979.0
81,0.1115,0.5196,0.1688,0.5,901.1,1213.0
82,0.1976,2.088,0.9375,1.0,621.6,670.0
83,0.1066,0.9742,0.5,0.5,936.8,1350.0
84,0.2252,0.8278,0.4625,1.0,1196.0,1495.0
85,0.2302,1.437,1.0,1.0,696.3,827.0
86,0.1348,0.7009,0.2125,0.5,1095.0,1327.0
87,0.0,0.0,0.01875,0.0,1212.0,1613.0
88,0.2029,0.68,0.7125,1.0,1041.0,1557.0
89,0.1536,0.8678,0.95,1.0,942.8,1043.0
90,0.2283,1.389,0.8125,1.0,1035.0,1446.0
91,0.1555,0.7893,1.0,1.0,884.8,1007.0
92,0.09499,0.6711,0.5,0.5,947.0,1271.0
93,0.2251,0.9934,0.7625,1.0,1026.0,1588.0
94,0.1838,0.656,0.875,1.0,1023.0,1393.0
95,0.1413,0.9574,0.9375,1.0,960.0,1240.0
96,0.1056,1.036,0.2,0.5,1120.0,1298.0
97,0.2334,1.072,0.8125,1.0,864.6,1391.0
98,0.1449,0.8768,0.3375,0.5,1146.0,1313.0
99,0.08419,0.8591,0.5187,0.5,797.1,1538.0
100,0.1588,1.035,0.9375,1.0,1064.0,1176.0
