_step,_runtime,_timestamp,train/completions/clipped_ratio,train/completions/max_length,train/completions/max_terminated_length,train/completions/mean_length,train/completions/mean_terminated_length,train/completions/min_length,train/completions/min_terminated_length,train/epoch,train/global_step,train/grad_norm,train/learning_rate,train/loss,train/sdpo/distillation_loss,train/self_distillation/distillation_loss,train/self_distillation/feedback_available_fraction,train/self_distillation/feedback_used_fraction,train/self_distillation/flat_group_fraction,train/self_distillation/group_reward_std_mean,train/self_distillation/policy_loss,train/self_distillation/reprompt_sample_fraction,train/self_distillation/reward_max,train/self_distillation/reward_mean,train/self_distillation/reward_min,train/self_distillation/reward_std,train/self_distillation/rewards/ojbench_public_reward_fb_critic_bin,train/self_distillation/success_group_fraction,train/self_distillation/success_sample_fraction
0,758.039762696,1782698512.112456,0.0625,20480,19598,17330.8125,17120.8671875,13475,13475,0.015873015873015872,1,0.027592357248067856,0.0001,0.01189042255282402,0.11890412960201502,0.11890412960201502,1,0,0.5,0.26726123690605164,1.1175870895385742e-08,1,1,0.25,0,0.4472135901451111,0.25,1,1
1,1401.609237933,1782699155.68382,0,20113,20113,15916.8125,15916.8125,12217,12217,0.031746031746031744,2,0.025706280022859573,9.5e-05,0.007210182026028633,0.07210194395156577,0.07210194395156577,1,0.125,0,0.3535533845424652,-1.6763806343078613e-08,1,1,0.125,0,0.34156501293182373,0.125,1,0.875
2,1923.469290155,1782699677.5432475,0,17800,17800,13584.375,13584.375,10117,10117,0.047619047619047616,3,0.025937609374523163,9e-05,0.013037711381912231,0.13037727866321802,0.13037727866321802,1,0,0.5,0.1767766922712326,-1.6763806343078613e-08,1,1,0.0625,0,0.25,0.0625,1,1
3,2258.325655218,1782700012.4005866,0,12385,12385,7837.125,7837.125,4502,4502,0.06349206349206349,4,0.027366722002625465,8.5e-05,0.010386072099208832,0.10386074287816882,0.10386074287816882,1,0,0.5,0.26726123690605164,-7.450580596923828e-09,1,1,0.75,0,0.4472135901451111,0.75,1,1
4,2614.961268199,1782700369.0352616,0,13019,13019,8495.6875,8495.6875,5515,5515,0.07936507936507936,5,0.030918121337890625,8e-05,0.005985574796795845,0.05985600431449711,0.05985600431449711,1,0.5625,0.5,0.1767766922712326,-1.6763806343078613e-08,1,1,0.0625,0,0.25,0.0625,0.5,0.4375
5,2869.287619559,1782700623.361367,0,10733,10733,6013.3125,6013.3125,2328,2328,0.09523809523809523,6,0.04190167784690857,7.500000000000001e-05,0.011932576075196266,0.11932575749233365,0.11932575749233365,1,0.5,0.5,0.2314550280570984,-1.1175870895385742e-08,1,1,0.125,0,0.34156501293182373,0.125,0.5,0.5
6,3197.02538152,1782700951.1000335,0,12920,12920,8840.8125,8840.8125,5655,5655,0.1111111111111111,7,0.03412706404924393,7e-05,0.008458690717816353,0.084586689947173,0.084586689947173,1,0.5,0.5,0.1767766922712326,1.862645149230957e-08,1,1,0.0625,0,0.25,0.0625,0.5,0.5
7,3470.334708028,1782701224.4086418,0,10421,10421,7688.875,7688.875,5443,5443,0.12698412698412698,8,0.01252034492790699,6.500000000000001e-05,0.011122176423668861,0.11122176237404346,0.11122176237404346,1,0,1,0,0,1,0,0,0,0,0,1,1
8,3659.991142003,1782701414.0644183,0,7390,7390,5128.125,5128.125,2530,2530,0.14285714285714285,9,0.018315404653549194,6e-05,0.009086444973945618,0.0908644450828433,0.0908644450828433,1,0.5,1,0,0,1,0,0,0,0,0,0.5,0.5
9,3814.004147841,1782701568.080277,0,6585,6585,4396.125,4396.125,2605,2605,0.15873015873015872,10,0.028995901346206665,5.500000000000001e-05,0.013069992884993553,0.13070012023672462,0.13070012023672462,1,0,0.5,0.1767766922712326,-2.0489096641540527e-08,1,1,0.9375,0,0.25,0.9375,1,1
10,4071.299527644,1782701825.3727643,0,11055,11055,4929.5625,4929.5625,1111,1111,0.1746031746031746,11,0.030266087502241135,5e-05,0.013131693936884403,0.13131665042601526,0.13131665042601526,1,0,0.5,0.2587745785713196,3.3527612686157227e-08,1,1,0.8125,0,0.40311288833618164,0.8125,1,1
11,4386.461369354,1782702140.5348485,0,12659,12659,10058.3125,10058.3125,7243,7243,0.19047619047619047,12,0.03304528072476387,4.5e-05,0.0062966113910079,0.06296611949801445,0.06296611949801445,1,1,1,0,0,1,0,0,0,0,0,0,0
12,4757.959122023,1782702512.0325043,0,13215,13215,6637.125,6637.125,3012,3012,0.20634920634920634,13,0.016229495406150818,4e-05,0.01124642975628376,0.11246429942548275,0.11246429942548275,1,0,1,0,0,1,1,0.5,0,0.5163977742195129,0.5,1,1
13,5069.696218738,1782702823.7711942,0,12485,12485,9108.6875,9108.6875,3945,3945,0.2222222222222222,14,0.030377324670553207,3.5e-05,0.010165752843022346,0.10165733587928116,0.10165733587928116,1,0.0625,0,0.4355512857437134,2.2351741790771484e-08,1,1,0.375,0,0.5,0.375,1,0.9375
