id,set,base_ac,ckpt10_ac,delta_ac,base_med_chars,ckpt10_med_chars
2129,held,0,0,0,43782,15146
2132,train,7,16,9,78731,24037
2294,held,15,1,-14,66863,26582
2415,train,10,2,-8,70744,20803
2445,held,10,12,2,60697,17926
2498,train,8,9,1,69971,21642
2499,train,12,2,-10,61430,19576
2590,train,15,1,-14,67463,25671
2603,train,16,15,-1,38107,14103
2608,held,10,18,8,63267,18687
2610,train,16,14,-2,74572,27326
2612,train,4,8,4,82702,18203
2667,train,14,1,-13,49241,15928
2951,held,0,1,1,74820,22118
3008,train,21,2,-19,58998,21581
3565,held,6,1,-5,74623,24367
3896,held,4,0,-4,58007,25775
4001,held,21,0,-21,52084,21100
